                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59325,                 1.8922,                 1.1602,                0.70036,                0.62662,                0.72406,                0.48775,                0.82689,                 5.1385,                 1.4941,             0.00055129,             0.00055129,             0.00055129
                      2,                0.59404,                 1.1908,                 1.1445,                 0.5962,                0.72541,                0.71371,                0.31519,                  1.166,                 4.5409,                 1.9379,              0.0010522,              0.0010522,              0.0010522
                      3,                0.61817,                 1.0073,                 1.1529,                0.65789,                0.49189,                 0.5698,                0.40619,                 1.2931,                 2.4989,                 1.8626,               0.001498,               0.001498,               0.001498
                      4,                0.58043,                0.87548,                 1.1227,                 0.7972,                 0.7081,                0.87498,                0.70939,                0.75397,                 2.5663,                 1.2561,              0.0014195,              0.0014195,              0.0014195
                      5,                 0.5542,                0.75921,                 1.0998,                0.95784,                0.91428,                0.96548,                0.84597,                0.59998,                 1.0446,                 1.1193,              0.0014195,              0.0014195,              0.0014195
                      6,                0.52156,                0.70252,                 1.0902,                0.95075,                0.88994,                0.96263,                 0.8234,                0.68406,                 1.3382,                 1.3199,              0.0013369,              0.0013369,              0.0013369
                      7,                0.52442,                0.65485,                 1.0769,                0.86381,                0.92268,                0.96438,                0.85968,                0.58853,                 1.3943,                 1.0948,              0.0012544,              0.0012544,              0.0012544
                      8,                0.48957,                0.59228,                 1.0648,                0.94852,                0.91614,                0.96296,                0.85924,                0.48465,                0.72084,                 1.0258,              0.0011719,              0.0011719,              0.0011719
                      9,                0.47748,                  0.584,                 1.0513,                0.97429,                0.94895,                0.97666,                0.88393,                0.47467,                0.72515,                 1.0064,              0.0010894,              0.0010894,              0.0010894
                     10,                0.45339,                0.53144,                 1.0369,                0.95366,                0.95018,                0.97446,                0.86286,                0.51683,                0.59494,                 1.0497,              0.0010069,              0.0010069,              0.0010069
                     11,                0.38615,                0.44254,                 1.0557,                0.98156,                0.94099,                0.97736,                0.89884,                0.40395,                0.45944,                0.90292,             0.00092435,             0.00092435,             0.00092435
                     12,                0.35997,                 0.3855,                 1.0246,                0.93043,                0.95639,                0.97564,                0.91824,                0.38138,                 0.4979,                0.90592,             0.00084184,             0.00084184,             0.00084184
                     13,                0.33895,                0.35414,                 1.0218,                0.93452,                0.96602,                0.98058,                0.91859,                0.36273,                0.62255,                0.86577,             0.00075932,             0.00075932,             0.00075932
                     14,                0.32128,                0.31975,                0.99959,                      1,                0.96491,                0.97977,                0.92854,                0.35306,                0.56455,                0.85143,              0.0006768,              0.0006768,              0.0006768
                     15,                0.32107,                0.31564,                0.99053,                0.96191,                0.92683,                0.97801,                0.94057,                0.30541,                 0.5202,                0.81715,             0.00059429,             0.00059429,             0.00059429
                     16,                0.30163,                0.28004,                0.98244,                0.92617,                0.98359,                0.97151,                 0.9311,                0.33662,                0.58535,                0.82979,             0.00051177,             0.00051177,             0.00051177
                     17,                0.27957,                  0.267,                0.95825,                      1,                0.96948,                0.98618,                0.95599,                0.32239,                0.30662,                0.81674,             0.00042925,             0.00042925,             0.00042925
                     18,                0.27314,                0.24283,                0.95904,                0.98219,                0.97608,                0.98787,                0.95567,                0.30224,                 0.3689,                0.80963,             0.00034674,             0.00034674,             0.00034674
                     19,                0.25827,                0.21872,                0.95153,                0.99422,                0.98113,                0.98894,                0.96445,                0.29525,                 0.2822,                0.79388,             0.00026422,             0.00026422,             0.00026422
                     20,                0.24989,                0.20722,                0.94042,                0.98566,                0.97985,                0.98881,                0.96664,                0.28124,                0.25934,                0.78089,              0.0001817,              0.0001817,              0.0001817
